编号,优先级,实施批次,领域,优化项,当前成熟度,现状与依据,建议方案,预期收益,建议验收指标（非当前实绩）,最小验收范围,前置项,实施规模（粗估）,保护与回退边界,建议负责角色,依据,实施状态,实现入口,聚焦验收,生产状态
OPT-011,P1,第二批：缩短发布,发布窗口,将确定性预检移到暂停接单前,已有stage前置；其余不足,候选暂存在暂停前，但退役前提和命令参数错误仍在维护窗口内才发现。,准备期完成参数、兼容声明、候选来源和旧槽可退役性检查；提交边界仅重新确认会变化的准入、任务、连接、租约、数据库和路由状态。,缩短实际停止新任务的时间。,参数和声明错误导致的暂停次数为0；分别记录准备耗时与接单暂停耗时；初期不承诺固定秒数。,一次正常app变更、一次预检拒绝、一次提交前状态漂移。,OPT-005;OPT-006;OPT-009;OPT-010,大（维护边界调整）,运行时状态不能用旧快照代替；是否允许在途旧任务由实际兼容性决定。,架构负责人、发布工具负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L302,已完成；本地影响验收与生产部署完成,scripts/deploy-blue-green.sh; scripts/release-impact-deploy.mjs,src/test/standalone-blue-green.test.ts; src/test/release-impact-deploy.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-012,P1,第二批：缩短发布,组件架构,补齐组件影响矩阵,外层组件选择已落地,本轮计划仅选择app，插件、任务流和控制组件未变；内部仍调用宽范围验证。,维护组件到接口、配置、数据库和验证集的显式映射。普通app变化只更新app，控制层与插件分别使用各自兼容条件。,让外层组件选择真正减少内部操作。,仅app变化时插件安装和Gateway重启均为0；接口、锁文件或配置变化时正确触发受影响检查。,app-only、plugin-only、配置及接口兼容变化各一例。,OPT-006;OPT-009,中（影响映射）,保持同一任务链；不因组件化默认拆成多套进程或微服务。,架构负责人、研发负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs#L655,已完成；本地影响验收与生产部署完成,scripts/release-impact-deploy.mjs; scripts/ci-impact-plan.mjs,src/test/release-impact-deploy.test.ts; src/test/ci-impact-plan.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-013,P1,第二批：缩短发布,构建缓存,按平台和ABI复用依赖与构建缓存,已有依赖复用；缓存策略待盘点,项目使用受管Node及SQLite原生模块，跨平台或ABI错误会使缓存不可用。,缓存键纳入操作系统、CPU架构、Node ABI、锁文件、包管理器和必要构建配置；静态检查与无副作用构建按资源独立执行。,减少重复安装，并保持跨机器可复现。,依赖未变命中缓存；Node ABI或锁文件改变必失效；实际打开临时SQLite验证原生加载。,同环境复用、锁文件变化、ABI变化三例。,OPT-012,中（构建配置）,不在生产现场重编译依赖；缓存不能包含密钥或数据库。,构建负责人,https://docs.github.com/en/actions/reference/workflows-and-actions/dependency-caching ; https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/build-standalone.mjs,已完成；本地影响验收与生产部署完成,scripts/ci-impact-plan.mjs; ../.github/workflows/quality-gate.yml,src/test/ci-impact-plan.test.ts; better-sqlite3 in-memory ABI probe,已部署；Git增量更新、依赖缓存复用及同提交制品封存已在远端实证
OPT-014,P1,第二批：缩短发布,质量验证,从全量门禁转向影响范围与真实合同,已有按影响CI；关键接线有缺口,输入修复51项测试仅数秒，部署问题却未被模拟的操作顺序测试发现。,以导入依赖和显式组件合同选择测试；补真实CLI参数、取消、连接和恢复边界。未受影响的既有证据继续复用。,把验证时间花在真实风险上。,每个已修复卡点有一个能复现原失败的检查；无关模块不进入本次验收；全量只显式触发。,测试选择器代表性变更；本轮新增合同测试。,OPT-004;OPT-005;OPT-006,中（测试合同）,不删除失败测试换取通过，不把一次代码改动扩成全平台验收。,测试负责人、研发负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/ci-impact-plan.mjs ; https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/test/release-impact-deploy.test.ts,已完成；本地影响验收与生产部署完成,scripts/ci-impact-plan.mjs; scripts/run-root-vitest.mjs; ../.github/workflows/quality-gate.yml,src/test/ci-impact-plan.test.ts; affected root/plugin suites,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-015,P1,第二批：缩短发布,传输与网络,持久源码和制品增量通道,增量已有效；临时通道偏多,94MB制品仅发送约2.2MB差异；GitHub曾受本机TLS和动态隧道影响。,源码使用canonical Git增量；制品按内容摘要传输与目标校验。只在对应请求失败时使用已验证进程级Clash，重试设置退避和停止条件。,保留已验证的传输收益，减少临时bundle和重复连接准备。,同制品续传不重复上传未改文件；断线后明确已传/未传；TLS身份校验保持；记录实际发送字节。,中途断线恢复、摘要不匹配、直连与代理失败各一例。,OPT-009,中（传输入口）,不关闭TLS校验，不改全局代理，不依赖旧cpolar地址；凭据不进命令日志。,运维负责人,项目传输记录2026-09-11；GITHUB-CLI-PROXY-001,已完成；本地影响验收与生产部署完成,scripts/lib/operations-maintenance.mjs; canonical Git worktree deployment,src/lib/__tests__/operations-maintenance.test.ts; deployment transfer receipt,已部署；Git增量更新、依赖缓存复用及同提交制品封存已在远端实证
OPT-016,P1,第二批：缩短发布,运行配置,配置、数据库路径与发行目录解耦,部分路径已收敛,旧发行目录中的私有env曾决定数据库路径，新目录缺配置时误生成默认数据库。,将运行资产路径集中到受控平台配置；生产缺少明确数据路径就启动失败。启动检查实际打开的数据库身份，禁止静默创建替代库。,减少换版本引起的隐式数据源变化。,移动发行目录不改变数据源；路径缺失时不生成新生产库；启动进程打开预期数据库。,正常启动、缺路径和错误数据库三例，使用测试副本。,无,中（配置与启动）,业务数据库和密钥不搬进代码仓库；配置变更保留受控回退点。,后端负责人、运维负责人,项目运行配置收敛记录2026-09-10；https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/lib/config.ts,已完成；本地影响验收与生产部署完成,scripts/start-standalone-slot.sh; scripts/release-impact-deploy.mjs,src/test/start-standalone-slot-runtime-path.test.ts; src/test/release-impact-deploy.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-017,P1,第三批：业务可维护性,领域设计,保持模块化单体与清晰接口,核心业务已部分集中,导演脑已通过应用接口提供业务能力，仍需审查其余平台相关调用的归属。,按视频任务、素材、导演知识、审核和发布划定模块职责；入口只做身份映射与协议转换。先在单一仓库内建立边界，再按真实负载决定是否拆服务。,降低维护和平台替换成本，避免分布式复杂度提前进入。,同一业务规则只有一个实现入口；领域模块不直接依赖OpenClaw SDK；跨模块依赖有明确方向。,挑一条查询与一条审核调用链核对边界，不全仓重写。,OPT-001,大（分批调整模块）,保留唯一业务任务和数据权威，不引入第二队列或第二套用户认证。,架构负责人,VAW-SINGLE-CHAIN-001；https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/app/api/n8n/director-brain/route.ts,已完成；本地影响验收与生产部署完成,src/lib/director-extraction-application.ts; src/lib/director-review-batches.ts,src/lib/__tests__/director-maintainability-contracts.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-018,P1,第三批：业务可维护性,平台适配,建立平台无关接口及适配器合同,OpenClaw薄适配已部分落地,当前平台入口已经变薄，但替换平台所需能力与错误语义需明确验证。,定义平台中立的消息、身份上下文、查询、审批和取消接口；OpenClaw实现适配器，先用本地假适配器跑同一业务合同。,未来接入其他获准平台时复用业务实现。,同一业务测试通过OpenClaw适配器和假适配器；错误、幂等及审批语义一致。,查询、候选新增和明确审批三条合同。,OPT-017,大（接口与适配）,新平台上线需要单独确认身份与权限方案；不能直接绕过当前OpenClaw外部鉴权。,架构负责人、集成负责人,VAW-OPENCLAW-AUTH-001；https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/lib/runtime/contracts.ts,已完成；本地影响验收与生产部署完成,src/lib/director-brain-application-port.ts; src/app/api/n8n/director-brain/route.ts,src/lib/__tests__/director-maintainability-contracts.test.ts; src/lib/__tests__/director-brain-route.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-019,P1,第三批：业务可维护性,兼容管理,协议版本与实现摘要各司其职,投影协议已分离；其他合同待覆盖,已引入稳定投影协议及历史读取映射，普通源码变化不应迫使整个运行链升级。,接口与数据格式按语义兼容管理；文件摘要仅负责完整性。记录支持的读写版本和退出旧兼容的条件。,减少无关组件联动发布。,纯实现改动无需升级业务协议；不兼容字段变化可在预检定位；未知版本明确拒绝。,当前版、一个仍有真实数据的旧版、未知版三例。,OPT-012;OPT-017,中（合同声明）,旧数据仍有依赖时不能移除读取能力；不能重写历史ID掩盖兼容问题。,架构负责人、数据负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/lib/director-projection-contract-compatibility.json,已完成；本地影响验收与生产部署完成,src/lib/director-brain-application-port.ts; openclaw-plugins/aiworker-director-brain/lib/director-brain-tool.js,director-brain route/plugin contract tests,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-020,P1,第三批：业务可维护性,长任务设计,提炼输入预算与证据引用分离,输入压缩已实现；业务闭环待验证,38条完整字段与历史种子重复，触发128KiB阶段输入上限；输入压缩已进入9148731，但未重试提炼确认。,先验证当前压缩策略保留必要证据；更大作品按时间窗口分段并保存检查点，再进行有来源约束的合并。事前估算阶段大小并返回明确缺口。,避免长视频审批后才暴露不可执行输入，支持可恢复提炼。,38条真实规模输入不超过既定预算；引用完整可追溯；边界超量提前失败；中断不重复投影。,当前38条规模、一个超量样例、单阶段中断；先用副本和无外部写入运行器。,OPT-017;OPT-019,大（按规模分阶段）,不截断关键证据冒充完整结果，不无界扩大模型上下文，不重新批准原证据。,AI流程负责人、后端负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/lib/director-extraction-service.ts#L221,已完成；本地影响验收与生产部署完成,src/lib/director-extraction-segments.ts; src/lib/director-extraction-service.ts,src/lib/__tests__/director-maintainability-contracts.test.ts; src/lib/__tests__/director-extraction-resilience.test.ts,已部署；原任务唯一一次重试已受理，understanding=running，progress=20且状态实时可读
OPT-021,P1,第三批：业务可维护性,审核与维护,审核批次持久化和幂等恢复,审批合同已有；批量执行仍依赖私有脚本,38条已通过正式review串行批准，但运维批量执行和进度恢复使用了一次性脚本。,在现有审核服务中持久记录批次的固定ID、版本、用户决定和逐条结果；显示完成、未处理与结果未知数量，支持只续行未完成部分。,减少人工重复审批和临时维护脚本。,相同批次重放不二次写入；失败后完成数准确；未来新增候选不进入旧批次。,中间一条失败、响应丢失、版本变化和整批重放。,OPT-007;OPT-017,中（审核作业）,新增不等于批准；只执行明确指定批次，不复制审核状态权威。,后端负责人、产品负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/openclaw-plugins/aiworker-director-brain/lib/director-chat-review.js,已完成；本地影响验收与生产部署完成,src/lib/director-review-batches.ts; openclaw-plugins/aiworker-director-brain/lib/director-chat-review.js,director maintainability/chat review/plugin tests,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-022,P1,第三批：业务可维护性,进度反馈,展示真实阶段、心跳及阻塞原因,有阶段状态；用户仍曾看见含糊等待,历史查询曾将执行器不可用描述成普通排队，提炼完成与待审核也需区分。,查询统一读取任务权威状态；显示当前阶段、最近有效进度、下一步条件和确定的错误。完成业务动作与后续任务进展分别呈现。,用户无需反复询问是否开始或是否完成。,队列阻塞、执行中、待审核、失败和完成各有明确说明；无数据时不编造百分比；状态来源可追踪。,五种状态的接口与一条实际聊天响应合同。,OPT-007;OPT-017,中（状态服务与适配）,忽略飞书“已关机”展示；不从聊天历史推断后台完成。,产品负责人、后端负责人,VAW-DIRECTOR-BRAIN-001 v1.2.0；https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/lib/director-extraction-application.ts,已完成；本地影响验收与生产部署完成,src/lib/director-extraction-runs.ts; src/lib/director-extraction-application.ts; openclaw-plugins/aiworker-director-brain/lib/director-brain-tool.js,director extraction runs/resilience/extraction-client tests,已部署；原任务唯一一次重试已受理，understanding=running，progress=20且状态实时可读
OPT-023,P1,第四批：长期运维,可观测性,记录发布和任务的分段耗时,缺少完整分段基线,目前主要依赖轮询进程判断阶段，缺少可比较的整体耗时分解。,先增加轻量结构化事件，记录阶段、开始结束、重试、等待锁、校验次数及字节。按需接入OpenTelemetry，不先搭建大型监控平台。,能量化优化收益并定位长期退化。,所有发布步骤都有时间和结果；样本充足后统计p50/p95，区分准备、维护和传输；无实测不填收益百分比。,一次正常发布、一例失败、一例取消的脱敏事件；不为统计反复部署。,OPT-003;OPT-007,中（事件与报表）,不记录Token、会话正文或原始素材；事件记录失败不能改变业务结果。,运维负责人、发布工具负责人,https://opentelemetry.io/docs/concepts/signals/ ; https://sre.google/sre-book/release-engineering/,已完成；本地影响验收与生产部署完成,scripts/lib/release-operation.mjs; scripts/lib/operations-maintenance.mjs,release operation and operations maintenance tests,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-024,P1,第四批：长期运维,恢复能力,建立代码回退与数据恢复分界,已有回滚资产；兼容判断需统一,GitHub只能恢复源码；真实配置、数据库和制品仍有独立恢复条件。,发布前明确数据库变化是否向后兼容；尽量采用先扩展后收缩迁移。分别给出切回代码、恢复配置、数据补偿的适用条件与代价。,避免把Git回退误当作整个系统恢复。,每次有数据或格式变化均声明逆向兼容性；必要时标明仅允许前向修复；不得覆盖新产生的业务数据。,本次实际涉及的迁移或配置恢复路径；无变化时复用原证据。,OPT-019,大（发布与数据合同）,真实数据恢复需要明确对象与授权，禁止自动整库覆盖。,数据负责人、发布工具负责人,RULE-PROD-DATA-CONFIRM-001；https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/src/lib/migrations.ts,已完成；本地影响验收与生产部署完成,scripts/lib/operations-governance.mjs,src/lib/__tests__/operations-governance.test.ts,已部署；生产影响验收通过（应用4f89131，控制837a123）
OPT-025,P1,第四批：长期运维,备份治理,按恢复对象校验并轮换两份历史,清理做过；新尝试又生成临时资产,手动清理容易遗漏跨目录备份及正在被依赖的旧源码；当前暂停后新增资产待重新盘点。,建立制品、数据库、配置和依赖引用清单。先给出清理计划，验证新恢复点后只删除超额且无引用的旧项，保留受保护对象。,控制磁盘增长并减少人工清理风险。,正常每个恢复对象最多两个有效历史；活动版本、依赖供体和唯一恢复点不会删除；例外有理由与到期条件。,有引用、无引用、恢复点损坏、超过上限四种清单场景。,OPT-008;OPT-024,中（资产清单与轮换）,先校验后轮换，不截断Git历史；本表不授权删除当前任何资料。,运维负责人、数据负责人,RULE-BACKUP-RETENTION-001；VAW-WORKSPACE-GOVERNANCE-001,已完成；本地影响验收与生产部署完成,scripts/lib/operations-governance.mjs,src/lib/__tests__/operations-governance.test.ts; deployment recovery inventory,已部署；当前版外只保留两个release历史，数据库、插件和控制恢复对象各保留两个有效历史
OPT-026,P1,第四批：长期运维,备份验证,按恢复时间和可丢失数据范围设目标,历史完整性校验已有；恢复目标待确定,quick_check与摘要证明完整性，不能独自证明实际恢复耗时及业务恢复正确。,与使用者确定RPO、RTO，再用隔离副本验证数据库、配置、版本和启动依赖；记录真实恢复时间，资产变化后只重验受影响对象。,让备份从“存在”变为可用恢复能力。,每类关键资产有已确认的RPO/RTO及最近有效恢复证据；无关改动不重复演练。,一个代表性关键恢复对象，在隔离环境验证；不混入每次常规发布。,OPT-024;OPT-025,中（一次基线与按需复验）,不以演练覆盖生产数据库，不为凑两份制造冗余备份。,运维负责人、数据负责人,项目备份与恢复记录；RULE-BACKUP-RETENTION-001,已完成；本地影响验收与生产部署完成,scripts/lib/operations-governance.mjs; scripts/lib/operations-maintenance.mjs,recovery inventory/telemetry tests; isolated database restore timing,治理合同已部署；数值目标等待业务实测与决策，未虚构RPO、RTO或资源预算
OPT-027,P1,第四批：长期运维,运维入口,标准化诊断和维护命令,一次性维护脚本偏多,多轮发布产生若干prepare、restart和恢复脚本，容易依赖过期路径与参数。,在已有管理入口集中status、plan、apply、cancel、resume和只读doctor；由安装声明解析实际管理器、Node、数据库及release，不手填历史路径。,减少交接成本和人为顺序错误。,常见故障可通过固定入口得到原因和下一步；正常维护不需要新写临时脚本；命令帮助与实际行为一致。,退役失败、取消、错误数据库和无效运行证明四个运维场景。,OPT-005;OPT-007;OPT-008;OPT-016,大（整合已有入口）,只整合真实使用能力，不新增通用运维平台；仍保护凭据与进程归属。,运维负责人、发布工具负责人,https://github.com/MAKingljx/video-autoworker/blob/2ea4cf98c53025b9a90e0756ed4e94af7ab6e6f3/video-autoworker/scripts/release-impact-deploy.mjs,已完成；本地影响验收与生产部署完成,scripts/release-impact-deploy.mjs,release-impact plan/apply/status/cancel/resume/doctor/prewarm tests,已部署；生产影响验收通过（应用4f89131，控制837a123）
